City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
427,Hami,CN,69.58,42.8,93.45,Laoyutang Resort
429,Harper,LR,78.62,4.375,-7.7169,Screensaver
431,Athabasca,CA,70.21,54.7169,-113.2854,Athabasca Lodge Motel
432,Maumere,ID,79.29,-8.6199,122.2111,Sylvia Hotel
433,Mogadishu,SO,78.26,2.0371,45.3438,Hotel Juba
435,Komsomolskiy,UZ,74.12,40.4272,71.7189,Ikathouse
436,Toamasina,MG,68.0,-18.1667,49.3833,Hotel H1
438,Turayf,SA,77.25,31.6725,38.6637,Turaif
439,Abaete,BR,71.08,-19.16,-45.4458,Hotel Millenium
440,Yenagoa,NG,75.51,4.9247,6.2642,Aridolf Resort Wellness and Spa
441,Vangaindrano,MG,65.97,-23.35,47.6,Hotel Fanilo
442,Klupci,RS,63.16,44.5314,19.2519,Hostel Ana
445,Tura,IN,73.53,25.5198,90.2201,Hotel RIKMAN Continental
446,Pitimbu,BR,77.59,-7.4706,-34.8086,Reserva do Abiaí
448,Auki,SB,81.16,-8.7676,160.7034,Auki Motel
452,Zhicheng,CN,75.13,30.2956,111.5047,Wangjiang Building
453,Hirara,JP,78.28,24.8,125.2833,Hotel Atoll Emerald Miyakojima
454,Khorramabad,IR,73.72,33.4878,48.3558,Azadi Hotel
456,Port Keats,AU,70.32,-14.25,129.55,TDC Village (Hundred Man Camp)
457,Basco,PH,83.95,20.4487,121.9702,Nathaniel's Lodge
458,Puro,PH,80.89,12.4841,123.3827,
459,Ust-Maya,RU,62.31,60.4167,134.5333,
461,Asau,RO,63.52,46.4333,26.4,Casa Mika Ciobanus
462,Zemio,CF,67.23,5.0314,25.1361,OCHA Office
463,Vao,NC,70.21,-22.6667,167.4833,Hotel Kou-Bugny
464,Bandarbeyla,SO,79.83,9.4942,50.8122,JABIR HOTEL
465,Maple Creek,CA,68.05,49.9168,-109.4848,Willowbend Campground & Cabins
467,Nishihara,JP,72.68,26.1842,127.7558,Minshuku Agaihama
468,Xique-Xique,BR,77.09,-10.8218,-42.7263,Hotel J. Macedo
469,Meulaboh,ID,75.81,4.1363,96.1285,Kost Pria
470,Kavaratti,IN,82.69,10.5669,72.642,Hotels in Lakshadweep Islands
471,Acari,PE,67.86,-15.4311,-74.6158,HOSPEDAJE XIMENA
473,Kpandae,GH,76.28,8.4689,-0.0113,S. Amaski Guest House
475,Khash,IR,77.95,28.2211,61.2158,خوابگاه آبجی محدثه
478,Madimba,TZ,72.5,-10.4,40.3333,
479,Upata,VE,72.19,8.0086,-62.3989,Posada Villa Nela
481,Kalmunai,LK,80.83,7.4167,81.8167,VS Villa
482,Verkhnevilyuysk,RU,61.84,63.4453,120.3167,Gostinitsa Mila
483,Vila Franca Do Campo,PT,66.61,37.7167,-25.4333,Pestana Bahia Praia
484,Kota Bahru,MY,76.98,6.1333,102.2386,Grand Riverview Hotel
485,San Policarpo,PH,81.23,12.1791,125.5072,Agapita M. Nicart
487,Norcasia,CO,77.5,5.5778,-74.8852,Hotel Amani
488,Pochutla,MX,83.82,15.7432,-96.4661,Hotel Posada San Jose
490,Elesbao Veloso,BR,80.73,-6.2019,-42.1403,Pousada Paraiso
491,Tekkali,IN,82.8,18.6167,84.2333,Spoorthi function hall
492,Fergus Falls,US,75.18,46.283,-96.0776,AmericInn by Wyndham Fergus Falls Conference Center
494,Dawei,MM,76.3,14.0833,98.2,Hotel Dawei
495,Alofi,NU,76.89,-19.0595,-169.9187,Taloa Heights
496,Zlobin,HR,60.1,45.2924,14.6541,Hotel Bitoraj Fuzine
497,Geraldton,AU,61.21,-28.7667,114.6,Broadwater Mariner Resort
498,Chhatak,BD,76.95,25.0333,91.6667,Hotel Sadi Internationl
499,Yen Bai,VN,77.72,21.7,104.8667,AK MOTEL
500,Kitsuki,JP,66.0,33.4167,131.6167,Hotel Silk Road
501,Miri,MY,75.34,4.4148,114.0089,"Mega Hotel, Miri"
502,Lagoa,PT,64.69,39.05,-27.9833,Casa Das Faias
503,Shelburne,CA,67.77,44.0787,-80.2041,The Retreat at the Farm
506,Narasannapeta,IN,83.32,18.4167,84.05,AVK events and catering
507,Manavgat,TR,71.69,36.7867,31.4431,Lake & River Side Hotel & Spa
509,Sussex,US,82.74,41.1834,-74.6663,Top O Hill Farm - McDougals
